x0,x1,x2,x3
0,4572,4512,2022
1,4572,4512,2022
2,4572,4512,2022
3,4548,4512,2022
4,7548,4512,2050
5,7548,4512,2050
6,7548,4512,2050
7,7548,4512,2050
8,7548,4512,2050
9,7548,4512,2050
10,7548,4512,2050
11,7548,4512,2050
12,7548,4512,2050
13,7548,4512,2050
14,7548,4512,2050
15,7548,4512,2050
16,7548,4512,2050
17,7548,4512,2050
18,7548,4512,2050
19,7548,4512,2050
20,7548,4512,2050
21,7548,4512,2050
22,7548,4512,2050
23,7548,4512,2050
24,7548,4512,2050
25,7548,4512,2050
26,7548,4512,2050
27,7548,4512,2050
28,7548,4512,2050
29,7548,4512,2050
